UniprotID	Q6UXD5-5
Accession	Q6UXD5;B7Z1N0;F5H293;H7BXQ6;Q9BW82;Q9UJ45;Q9UJ46;Q9UJ47
EntryName	SE6L2_HUMAN
ProteinName	Seizure 6-like protein 2
GeneName	SEZ6L2 PSK UNQ1903/PRO4349
Length	879
Function	May contribute to specialized endoplasmic reticulum functions in neurons.
Subcellular Location	Cell membrane; Endoplasmic reticulum membrane
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.055881403
pNuLoCRegion	
