UniprotID	Q7Z2Z2-2
Accession	Q7Z2Z2;A6NKY5;B7Z6I0;Q9H8Z6
EntryName	EFL1_HUMAN
ProteinName	Elongation factor-like GTPase 1 (EC 3.6.5.-) (Elongation factor Tu GTP-binding domain-containing protein 1) (Elongation factor-like 1) (Protein FAM42A)
GeneName	EFL1 EFTUD1 FAM42A
Length	1069
Function	GTPase involved in the biogenesis of the 60S ribosomal subunit and translational activation of ribosomes. Together with SBDS, triggers the GTP-dependent release of EIF6 from 60S pre-ribosomes in the cytoplasm, thereby activating ribosomes for translation competence by allowing 80S ribosome assembly and facilitating EIF6 recycling to the nucleus, where it is required for 60S rRNA processing and nuclear export.
Subcellular Location	
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.56174326
pNuLoCRegion	56...68
