UniprotID	Q9HAW8
Accession	Q9HAW8;O00474;Q6NT91;Q7Z6H8
EntryName	UD110_HUMAN
ProteinName	UDP-glucuronosyltransferase 1A10 (UGT1A10) (EC 2.4.1.17) (UDP-glucuronosyltransferase 1-10) (UDPGT 1-10) (UGT1*10) (UGT1-10) (UGT1.10) (UDP-glucuronosyltransferase 1-J) (UGT-1J) (UGT1J)
GeneName	UGT1A10 GNT1 UGT1
Length	530
Function	UDP-glucuronosyltransferase (UGT) that catalyzes phase II biotransformation reactions in which lipophilic substrates are conjugated with glucuronic acid to increase the metabolite's water solubility, thereby facilitating excretion into either the urine or bile (PubMed:12181437, PubMed:18004212, PubMed:18052087, PubMed:18674515, PubMed:18719240, PubMed:19545173, PubMed:23288867, PubMed:26220143, PubMed:15231852, PubMed:21422672). Essential for the elimination and detoxification of drugs, xenobiotics and endogenous compounds (PubMed:12181437, PubMed:18004212). Catalyzes the glucuronidation of endogenous estrogen hormones such as estradiol, estrone and estriol (PubMed:18719240, PubMed:23288867, PubMed:26220143). Involved in the glucuronidation of arachidonic acid (AA) and AA-derived eicosanoids including 15-HETE and PGB1 (PubMed:15231852). Involved in the glucuronidation of the phytochemical ferulic acid at the phenolic or the carboxylic acid group (PubMed:21422672). Also catalyzes the glucuronidation of the isoflavones genistein, daidzein, glycitein, formononetin, biochanin A and prunetin, which are phytoestrogens with anticancer and cardiovascular properties (PubMed:18052087, PubMed:19545173). Involved in the glucuronidation of the AGTR1 angiotensin receptor antagonist losartan, caderastan and zolarsatan, drugs which can inhibit the effect of angiotensin II (PubMed:18674515).
Subcellular Location	Endoplasmic reticulum membrane
Disorder	0.2884,0.1702,0.0967,0.0676,0.0414,0.0269,0.0194,0.0146,0.0198,0.0153,0.0198,0.0125,0.0123,0.0136,0.0134,0.0134,0.0227,0.0133,0.0093,0.0067,0.0067,0.0067,0.0080,0.0113,0.0163,0.0248,0.0405,0.0364,0.0287,0.0281,0.0380,0.0380,0.0835,0.0662,0.0372,0.0518,0.0518,0.0287,0.0287,0.0287,0.0433,0.0690,0.0531,0.0780,0.0473,0.0300,0.0205,0.0148,0.0205,0.0543,0.0592,0.0473,0.0443,0.0235,0.0372,0.0320,0.0320,0.0320,0.0543,0.0531,0.1028,0.0581,0.0592,0.0398,0.0341,0.0568,0.0433,0.0662,0.1048,0.1275,0.0555,0.0518,0.0443,0.0531,0.1115,0.1115,0.1942,0.1759,0.1942,0.1007,0.1373,0.0835,0.0676,0.0518,0.0780,0.0631,0.0631,0.0646,0.0662,0.0506,0.0555,0.0870,0.0888,0.1449,0.0749,0.0306,0.0281,0.0160,0.0102,0.0083,0.0136,0.0163,0.0227,0.0483,0.0605,0.0281,0.0205,0.0209,0.0231,0.0119,0.0083,0.0079,0.0087,0.0062,0.0064,0.0086,0.0096,0.0064,0.0090,0.0138,0.0171,0.0178,0.0115,0.0090,0.0099,0.0069,0.0078,0.0107,0.0111,0.0171,0.0349,0.0341,0.0389,0.0327,0.0372,0.0174,0.0113,0.0191,0.0506,0.0209,0.0209,0.0218,0.0134,0.0223,0.0194,0.0111,0.0130,0.0174,0.0174,0.0099,0.0065,0.0065,0.0072,0.0076,0.0084,0.0084,0.0102,0.0090,0.0088,0.0080,0.0136,0.0088,0.0056,0.0057,0.0055,0.0070,0.0069,0.0094,0.0119,0.0123,0.0168,0.0398,0.0231,0.0494,0.0327,0.0405,0.0349,0.0518,0.0605,0.0356,0.0424,0.0454,0.0909,0.1137,0.1115,0.1184,0.0568,0.1007,0.0948,0.0662,0.0473,0.0631,0.0248,0.0443,0.0433,0.0555,0.0287,0.0253,0.0287,0.0531,0.0473,0.0253,0.0218,0.0125,0.0231,0.0454,0.0424,0.0543,0.0248,0.0141,0.0184,0.0138,0.0091,0.0094,0.0095,0.0091,0.0080,0.0075,0.0133,0.0086,0.0078,0.0108,0.0178,0.0115,0.0117,0.0111,0.0109,0.0130,0.0143,0.0306,0.0454,0.0218,0.0454,0.0454,0.0531,0.0506,0.0454,0.0605,0.1048,0.0494,0.0473,0.0327,0.0198,0.0178,0.0320,0.0646,0.0275,0.0181,0.0102,0.0153,0.0094,0.0120,0.0209,0.0223,0.0253,0.0356,0.0433,0.0494,0.0349,0.0205,0.0184,0.0198,0.0341,0.0631,0.0341,0.0356,0.0209,0.0424,0.0734,0.1275,0.1184,0.2224,0.1251,0.1449,0.0929,0.1554,0.1048,0.1048,0.0780,0.0543,0.0543,0.1206,0.1643,0.1611,0.1583,0.2680,0.2503,0.3249,0.2364,0.1643,0.1137,0.0568,0.0473,0.0483,0.0414,0.0581,0.0364,0.0506,0.0433,0.0631,0.0676,0.1399,0.1476,0.1759,0.1791,0.1501,0.1007,0.0851,0.0473,0.0704,0.1162,0.1399,0.1671,0.1671,0.2470,0.1643,0.1881,0.2503,0.3286,0.2645,0.1671,0.1611,0.1476,0.0704,0.0734,0.0734,0.0948,0.1323,0.1791,0.2645,0.3087,0.2129,0.2164,0.3117,0.3215,0.3286,0.3356,0.2292,0.1611,0.1554,0.1298,0.1298,0.2399,0.2503,0.3631,0.3704,0.2951,0.2094,0.2034,0.1823,0.2034,0.1554,0.2364,0.2715,0.2292,0.1275,0.0734,0.1275,0.1942,0.2258,0.2258,0.3249,0.4087,0.3807,0.3019,0.1942,0.1969,0.2783,0.2715,0.2094,0.2224,0.2002,0.1823,0.2002,0.1554,0.1323,0.1823,0.2193,0.2399,0.1611,0.1048,0.1048,0.1092,0.1162,0.0870,0.1323,0.2328,0.1852,0.1852,0.2715,0.2817,0.2849,0.2918,0.3566,0.3286,0.3460,0.4087,0.3840,0.4369,0.3215,0.4149,0.4652,0.3774,0.3840,0.3149,0.3704,0.3566,0.3566,0.3983,0.3087,0.3215,0.3840,0.3321,0.2436,0.2436,0.2129,0.1852,0.1162,0.1791,0.1759,0.2645,0.2470,0.2129,0.3019,0.3019,0.3667,0.2715,0.2292,0.2193,0.1424,0.2129,0.1969,0.1206,0.1424,0.2193,0.2193,0.2575,0.3460,0.3704,0.3740,0.3948,0.3087,0.3149,0.3321,0.2988,0.2193,0.1137,0.1048,0.0929,0.0985,0.0799,0.0543,0.0405,0.0719,0.0719,0.0719,0.0676,0.0531,0.0531,0.0799,0.0433,0.0389,0.0765,0.0605,0.0817,0.0985,0.1424,0.1702,0.2752,0.2328,0.1349,0.2503,0.2094,0.2575,0.2470,0.1702,0.1702,0.1251,0.0888,0.0749,0.0349,0.0356,0.0214,0.0160,0.0138,0.0120,0.0088,0.0087,0.0093,0.0083,0.0078,0.0080,0.0076,0.0072,0.0072,0.0058,0.0059,0.0054,0.0048,0.0062,0.0046,0.0066,0.0088,0.0086,0.0070,0.0086,0.0108,0.0163,0.0157,0.0231,0.0188,0.0398,0.0734,0.0581,0.1206,0.1229,0.1759,0.2503,0.2849,0.3807,0.3667,0.4582,0.4369,0.4149,0.5176,0.6531,0.6482,0.6269,0.6043,0.5951
ExposeBuried	1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,1,0,1,1,1,1,0,1,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,1,0,1,0,1,1,1,1,0,1,1,1,0,0,1,0,0,1,1,1,0,1,1,1,0,1,1,0,0,1,1,0,0,1,0,0,1,1,0,0,1,0,0,0,1,0,0,1,1,0,0,1,1,1,1,0,0,1,1,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,1,1,0,1,1,1,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0,1,1,1,0,1,1,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,1,1,1,0,1,1,0,0,1,0,0,1,1,0,1,1,1,0,0,0,1,0,1,0,1,1,1,1,1,0,0,1,1,0,1,0,0,1,0,0,0,1,1,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,1,0,1,0,1,1,0,0,0,1,0,1,0,1,1,0,1,1,1,1,0,0,1,0,0,1,1,0,0,1,1,1,1,0,1,1,0,0,1,1,0,0,1,0,0,1,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
SurfaceAccessbility	0.793,0.504,0.510,0.461,0.440,0.144,0.325,0.283,0.165,0.091,0.106,0.064,0.051,0.072,0.088,0.051,0.091,0.123,0.118,0.058,0.158,0.135,0.184,0.516,0.328,0.193,0.304,0.057,0.029,0.060,0.044,0.079,0.113,0.407,0.275,0.222,0.138,0.133,0.132,0.172,0.040,0.341,0.343,0.035,0.048,0.530,0.289,0.036,0.292,0.670,0.366,0.475,0.203,0.464,0.054,0.105,0.065,0.057,0.066,0.274,0.543,0.224,0.487,0.333,0.463,0.249,0.565,0.593,0.581,0.404,0.364,0.162,0.284,0.132,0.366,0.284,0.166,0.374,0.230,0.509,0.210,0.404,0.454,0.707,0.495,0.162,0.451,0.562,0.381,0.092,0.274,0.379,0.214,0.188,0.376,0.514,0.340,0.198,0.544,0.598,0.457,0.153,0.415,0.536,0.176,0.071,0.462,0.336,0.128,0.180,0.529,0.227,0.064,0.343,0.372,0.068,0.113,0.414,0.172,0.066,0.267,0.475,0.205,0.016,0.418,0.427,0.087,0.123,0.469,0.329,0.449,0.559,0.076,0.090,0.558,0.359,0.067,0.504,0.708,0.523,0.517,0.080,0.381,0.070,0.069,0.050,0.075,0.147,0.118,0.146,0.225,0.127,0.021,0.101,0.318,0.059,0.033,0.142,0.491,0.204,0.108,0.636,0.137,0.324,0.100,0.048,0.096,0.051,0.056,0.259,0.215,0.162,0.197,0.163,0.352,0.365,0.370,0.556,0.479,0.390,0.393,0.491,0.144,0.224,0.416,0.257,0.290,0.291,0.154,0.090,0.120,0.254,0.196,0.203,0.296,0.435,0.207,0.301,0.382,0.270,0.122,0.329,0.064,0.155,0.391,0.229,0.035,0.254,0.294,0.085,0.063,0.163,0.161,0.066,0.184,0.271,0.262,0.135,0.137,0.114,0.254,0.163,0.220,0.165,0.450,0.430,0.142,0.227,0.568,0.171,0.168,0.346,0.639,0.306,0.225,0.579,0.396,0.427,0.336,0.263,0.103,0.184,0.470,0.136,0.134,0.358,0.395,0.075,0.212,0.043,0.037,0.033,0.038,0.137,0.171,0.354,0.116,0.326,0.169,0.564,0.169,0.322,0.358,0.258,0.229,0.135,0.228,0.390,0.106,0.171,0.080,0.053,0.087,0.104,0.114,0.344,0.141,0.454,0.582,0.505,0.538,0.358,0.163,0.322,0.623,0.387,0.056,0.443,0.525,0.091,0.066,0.588,0.486,0.278,0.421,0.530,0.327,0.066,0.047,0.026,0.032,0.041,0.073,0.083,0.189,0.288,0.185,0.135,0.519,0.578,0.155,0.521,0.555,0.647,0.316,0.073,0.345,0.295,0.056,0.125,0.460,0.139,0.114,0.300,0.569,0.095,0.290,0.414,0.387,0.050,0.101,0.065,0.280,0.104,0.546,0.239,0.642,0.506,0.323,0.587,0.459,0.164,0.295,0.480,0.381,0.143,0.294,0.104,0.087,0.366,0.077,0.100,0.158,0.393,0.415,0.342,0.120,0.173,0.328,0.198,0.256,0.343,0.132,0.279,0.061,0.051,0.079,0.184,0.148,0.186,0.221,0.269,0.224,0.106,0.048,0.093,0.125,0.082,0.047,0.195,0.348,0.259,0.077,0.096,0.058,0.041,0.055,0.032,0.052,0.072,0.117,0.157,0.335,0.288,0.352,0.571,0.236,0.162,0.472,0.360,0.133,0.525,0.317,0.542,0.522,0.151,0.160,0.112,0.326,0.098,0.372,0.153,0.416,0.486,0.135,0.374,0.327,0.610,0.335,0.042,0.235,0.484,0.131,0.042,0.381,0.429,0.086,0.098,0.657,0.406,0.685,0.464,0.136,0.426,0.591,0.228,0.070,0.279,0.392,0.064,0.196,0.461,0.144,0.238,0.545,0.623,0.421,0.374,0.225,0.497,0.234,0.180,0.387,0.225,0.054,0.058,0.083,0.044,0.036,0.194,0.080,0.035,0.125,0.426,0.305,0.615,0.514,0.137,0.563,0.256,0.075,0.273,0.225,0.150,0.145,0.226,0.531,0.124,0.334,0.099,0.146,0.269,0.209,0.144,0.139,0.066,0.127,0.054,0.082,0.096,0.083,0.099,0.130,0.135,0.108,0.136,0.163,0.147,0.108,0.137,0.121,0.075,0.093,0.134,0.230,0.034,0.040,0.111,0.117,0.054,0.068,0.288,0.355,0.071,0.259,0.422,0.552,0.560,0.389,0.471,0.158,0.552,0.562,0.303,0.458,0.609,0.511,0.619,0.679,0.795
