UniprotID	Q9NR16-2
Accession	Q9NR16;B4E0G7;C9JHR7;E7EVK4;Q2M3B7;Q6UWC2
EntryName	C163B_HUMAN
ProteinName	Scavenger receptor cysteine-rich type 1 protein M160 (CD163 antigen-like 1) (CD antigen CD163b)
GeneName	CD163L1 CD163B M160 UNQ6434/PRO23202
Length	1421
Function	
Subcellular Location	Cell membrane; Cell membrane; Secreted
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.10845922
pNuLoCRegion	
