UniprotID	Q5K4E3-3
Accession	Q5K4E3;A8K2P5;B4DW80;B7ZMK8;E7EX56;Q8NBY4
EntryName	POLS2_HUMAN
ProteinName	Polyserase-2 (EC 3.4.21.-) (Polyserine protease 2) (Serine protease 36)
GeneName	PRSS36
Length	850
Function	Serine protease. Hydrolyzes the peptides N-t-Boc-Gln-Ala-Arg-AMC and N-t-Boc-Gln-Gly-Arg-AMC and, to a lesser extent, N-t-Boc-Ala-Phe-Lys-AMC and N-t-Boc-Val-Leu-Lys-AMC. Has a preference for substrates with an Arg instead of a Lys residue in position P1.
Subcellular Location	Secreted; Extracellular space; Extracellular matrix
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.05502718
pNuLoCRegion	
