UniprotID	Q8IWB6-3
Accession	Q8IWB6;A6NH19;Q7RTP3;Q8ND97;Q9BXT9
EntryName	TEX14_HUMAN
ProteinName	Inactive serine/threonine-protein kinase TEX14 (Protein kinase-like protein SgK307) (Sugen kinase 307) (Testis-expressed sequence 14) (Testis-expressed sequence 14 protein)
GeneName	TEX14 SGK307
Length	1451
Function	Required both for the formation of intercellular bridges during meiosis and for kinetochore-microtubule attachment during mitosis. Intercellular bridges are evolutionarily conserved structures that connect differentiating germ cells and are required for spermatogenesis and male fertility. Acts by promoting the conversion of midbodies into intercellular bridges via its interaction with CEP55: interaction with CEP55 inhibits the interaction between CEP55 and PDCD6IP/ALIX and TSG101, blocking cell abscission and leading to transform midbodies into intercellular bridges. Also plays a role during mitosis: recruited to kinetochores by PLK1 during early mitosis and regulates the maturation of the outer kinetochores and microtubule attachment. Has no protein kinase activity in vitro (By similarity).
Subcellular Location	Cytoplasm; Midbody; Chromosome; Centromere; Kinetochore
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.16688006
pNuLoCRegion	
