UniprotID	Q96QT6-3
Accession	Q96QT6;Q0VAI5;Q2TAK2;Q6ZML2;Q9BV34;Q9H7U9;Q9P205
EntryName	PHF12_HUMAN
ProteinName	PHD finger protein 12 (PHD factor 1) (Pf1)
GeneName	PHF12 KIAA1523
Length	849
Function	Transcriptional repressor acting as key scaffolding subunit of SIN3 complexes which contributes to complex assembly by contacting each core subunit domain, stabilizes the complex and constitutes the substrate receptor by recruiting the H3 histone tail (PubMed:37137925). SIN3 complexes are composed of a SIN3 scaffold subunit, one catalytic core (HDAC1 or HDAC2) and 2 chromatin targeting modules (PubMed:11390640, PubMed:37137925). SIN3B complex represses transcription and counteracts the histone acetyltransferase activity of EP300 through the recognition H3K27ac marks by PHF12 and the activity of the histone deacetylase HDAC2 (PubMed:37137925). SIN3B complex is recruited downstream of the constitutively active genes transcriptional start sites through interaction with histones and mitigates histone acetylation and RNA polymerase II progression within transcribed regions contributing to the regulation of transcription (PubMed:21041482). May also repress transcription in a SIN3A-independent manner through recruitment of functional TLE5 complexes to DNA (PubMed:11390640). May also play a role in ribosomal biogenesis (By similarity).
Subcellular Location	Nucleus
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.98090976
pNuLoCRegion	4...54;214...227;241...257;290...312
