UniprotID	Q9UMZ2-3
Accession	Q9UMZ2;A8MWU4;B7ZKZ2;B7ZKZ3;Q17RI2;Q5BKU5;Q6ZT17
EntryName	SYNRG_HUMAN
ProteinName	Synergin gamma (AP1 subunit gamma-binding protein 1) (Gamma-synergin)
GeneName	SYNRG AP1GBP1 SYNG
Length	1236
Function	Plays a role in endocytosis and/or membrane trafficking at the trans-Golgi network (TGN) (PubMed:15758025). May act by linking the adapter protein complex AP-1 to other proteins (Probable). Component of clathrin-coated vesicles (PubMed:15758025). Component of the aftiphilin/p200/gamma-synergin complex, which plays roles in AP1G1/AP-1-mediated protein trafficking including the trafficking of transferrin from early to recycling endosomes, and the membrane trafficking of furin and the lysosomal enzyme cathepsin D between the trans-Golgi network (TGN) and endosomes (PubMed:15758025).
Subcellular Location	Cytoplasm; Golgi apparatus; trans-Golgi network membrane; Cytoplasm; Perinuclear region; Cytoplasmic vesicle; Clathrin-coated vesicle
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.7921175
pNuLoCRegion	8...48;60...83;103...120
