UniprotID	Q9P243-3
Accession	Q9P243;B7ZL15;E9PER3;Q3MIM5;Q6PJ01;Q75PJ6;Q75PJ7;Q75PJ9;Q86X64
EntryName	ZFAT_HUMAN
ProteinName	Zinc finger protein ZFAT (Zinc finger gene in AITD susceptibility region) (Zinc finger protein 406)
GeneName	ZFAT KIAA1485 ZFAT1 ZNF406
Length	846
Function	May be involved in transcriptional regulation. Overexpression causes down-regulation of a number of genes involved in the immune response. Some genes are also up-regulated (By similarity).
Subcellular Location	Nucleus; Cytoplasm; Cytosol
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.9609601
pNuLoCRegion	18...22;50...78;117...118;152...169;276...277;295...327;405...437;734...750;765...775;805...821
