UniprotID	Q3KR37-4
Accession	Q3KR37;B3KXJ5;E7EPH8;Q6UW85;Q9ULL9
EntryName	ASTRB_HUMAN
ProteinName	Protein Aster-B (GRAM domain-containing protein 1B)
GeneName	GRAMD1B KIAA1201 UNQ3032/PRO9834
Length	745
Function	Cholesterol transporter that mediates non-vesicular transport of cholesterol from the plasma membrane (PM) to the endoplasmic reticulum (ER) (By similarity). Contains unique domains for binding cholesterol and the PM, thereby serving as a molecular bridge for the transfer of cholesterol from the PM to the ER (By similarity). Plays a crucial role in cholesterol homeostasis in the adrenal gland and has the unique ability to localize to the PM based on the level of membrane cholesterol (By similarity). In lipid-poor conditions localizes to the ER membrane and in response to excess cholesterol in the PM is recruited to the endoplasmic reticulum-plasma membrane contact sites (EPCS) which is mediated by the GRAM domain (By similarity). At the EPCS, the sterol-binding VASt/ASTER domain binds to the cholesterol in the PM and facilitates its transfer from the PM to ER (By similarity).
Subcellular Location	Endoplasmic reticulum membrane; Cell membrane
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.17860322
pNuLoCRegion	24...41;567...583
