UniprotID	Q6ZUT9-4
Accession	Q6ZUT9;B5ME75;Q59FW8;Q68CZ7;Q6NUJ0;Q7Z3F9;Q8N973;Q8WUC8
EntryName	DEN5B_HUMAN
ProteinName	DENN domain-containing protein 5B (Rab6IP1-like protein)
GeneName	DENND5B
Length	738
Function	Guanine nucleotide exchange factor (GEF) which may activate RAB39A and/or RAB39B. Promotes the exchange of GDP to GTP, converting inactive GDP-bound Rab proteins into their active GTP-bound form.
Subcellular Location	Membrane
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.33555448
pNuLoCRegion	118...165
