UniprotID	Q86SQ0-3
Accession	Q86SQ0;A5PKZ3;Q59EA8;Q68CY3;Q6NT98;Q8N8U8;Q8NAB1;Q8NCU5
EntryName	PHLB2_HUMAN
ProteinName	Pleckstrin homology-like domain family B member 2 (Protein LL5-beta)
GeneName	PHLDB2 LL5B
Length	1237
Function	Seems to be involved in the assembly of the postsynaptic apparatus. May play a role in acetyl-choline receptor (AChR) aggregation in the postsynaptic membrane (By similarity).
Subcellular Location	Cytoplasm; Cytoplasm; Cell cortex; Membrane; Cell projection; Podosome
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.754351
pNuLoCRegion	8...24;37...42
