UniprotID	Q8WX94-3
Accession	Q8WX94;E9PE16;Q32MH8;Q7RTR1
EntryName	NALP7_HUMAN
ProteinName	NACHT, LRR and PYD domains-containing protein 7 (Nucleotide-binding oligomerization domain protein 12) (PYRIN-containing APAF1-like protein 3)
GeneName	NLRP7 NALP7 NOD12 PYPAF3
Length	1037
Function	Inhibits CASP1/caspase-1-dependent IL1B secretion.
Subcellular Location	
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.9243027
pNuLoCRegion	5...26;34...47;949...950
