UniprotID	Q684P5-2
Accession	Q684P5;B2RTY5;Q684P4;Q6AI00;Q6ZVF0;Q9UPW2
EntryName	RPGP2_HUMAN
ProteinName	Rap1 GTPase-activating protein 2 (Rap1GAP2) (GTPase-activating Rap/Ran-GAP domain-like protein 4)
GeneName	RAP1GAP2 GARNL4 KIAA1039 RAP1GA2
Length	715
Function	GTPase activator for the nuclear Ras-related regulatory protein RAP-1A (KREV-1), converting it to the putatively inactive GDP-bound state.
Subcellular Location	Cytoplasm; Cytoplasm; Perinuclear region
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.36807406
pNuLoCRegion	29...37;113...129
