UniprotID	Q9UKU0-6
Accession	Q9UKU0;J3KPG3;O94924;O95829;Q108M9;Q108N0;Q4G191;Q86TN7
EntryName	ACSL6_HUMAN
ProteinName	Long-chain-fatty-acid--CoA ligase 6 (EC 6.2.1.3) (Arachidonate--CoA ligase) (EC 6.2.1.15) (Long-chain acyl-CoA synthetase 6) (LACS 6)
GeneName	ACSL6 ACS2 FACL6 KIAA0837 LACS5
Length	712
Function	Catalyzes the conversion of long-chain fatty acids to their active form acyl-CoA for both synthesis of cellular lipids, and degradation via beta-oxidation (PubMed:22633490, PubMed:24269233). Plays an important role in fatty acid metabolism in brain and the acyl-CoAs produced may be utilized exclusively for the synthesis of the brain lipid.
Subcellular Location	Mitochondrion outer membrane; Peroxisome membrane; Microsome membrane; Endoplasmic reticulum membrane
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.6683755
pNuLoCRegion	379...389;404...426
