UniprotID	Q9Y5H2-2
Accession	Q9Y5H2;B7ZVY8;Q9Y5D8;Q9Y5D9
EntryName	PCDGB_HUMAN
ProteinName	Protocadherin gamma-A11 (PCDH-gamma-A11)
GeneName	PCDHGA11
Length	837
Function	Potential calcium-dependent cell-adhesion protein. May be involved in the establishment and maintenance of specific neuronal connections in the brain.
Subcellular Location	Cell membrane
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.00579289
pNuLoCRegion	
