UniprotID	Q9NTJ4-3
Accession	Q9NTJ4;H3BMX2;H3BQY8;H3BUT6;Q13358;Q68EM8;Q9UL64
EntryName	MA2C1_HUMAN
ProteinName	Alpha-mannosidase 2C1 (EC 3.2.1.24) (Alpha mannosidase 6A8B) (Alpha-D-mannoside mannohydrolase) (Mannosidase alpha class 2C member 1)
GeneName	MAN2C1 MANA MANA1
Length	941
Function	Cleaves alpha 1,2-, alpha 1,3-, and alpha 1,6-linked mannose residues on cytoplasmic free oligosaccharides generated by N-glycoprotein degradation pathways.
Subcellular Location	Cytoplasm
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.6910259
pNuLoCRegion	10...24;574...578
