UniprotID	Q9NZM3-2
Accession	Q9NZM3;O95062;Q15812;Q9HAK4;Q9NXE6;Q9NYG0;Q9NZM2;Q9ULG4
EntryName	ITSN2_HUMAN
ProteinName	Intersectin-2 (SH3 domain-containing protein 1B) (SH3P18) (SH3P18-like WASP-associated protein)
GeneName	ITSN2 KIAA1256 SH3D1B SWAP
Length	1670
Function	Adapter protein that may provide indirect link between the endocytic membrane traffic and the actin assembly machinery. May regulate the formation of clathrin-coated vesicles (CCPs). Seems to be involved in CCPs maturation including invagination or budding. Involved in endocytosis of integrin beta-1 (ITGB1) and transferrin receptor (TFR). Plays a role in dendrite formation by melanocytes (PubMed:23999003).
Subcellular Location	Cytoplasm
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.78293747
pNuLoCRegion	9...26;55...68;86...113
