UniprotID	Q6WCQ1-3
Accession	Q6WCQ1;Q3KQZ5;Q5FB94;Q6DHW2;Q7Z5Y2;Q8N390;Q96G40
EntryName	MPRIP_HUMAN
ProteinName	Myosin phosphatase Rho-interacting protein (M-RIP) (Rho-interacting protein 3) (RIP3) (p116Rip)
GeneName	MPRIP KIAA0864 MRIP RHOIP3
Length	1000
Function	Targets myosin phosphatase to the actin cytoskeleton. Required for the regulation of the actin cytoskeleton by RhoA and ROCK1. Depletion leads to an increased number of stress fibers in smooth muscle cells through stabilization of actin fibers by phosphorylated myosin. Overexpression of MRIP as well as its F-actin-binding region leads to disassembly of stress fibers in neuronal cells.
Subcellular Location	Cytoplasm; Cytoskeleton
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.8438868
pNuLoCRegion	51...71;149...174;491...508
