UniprotID	Q9Y5F6-2
Accession	Q9Y5F6;Q9Y5C2
EntryName	PCDGM_HUMAN
ProteinName	Protocadherin gamma-C5 (PCDH-gamma-C5)
GeneName	PCDHGC5
Length	878
Function	Potential calcium-dependent cell-adhesion protein. May be involved in the establishment and maintenance of specific neuronal connections in the brain.
Subcellular Location	Cell membrane
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.023126766
pNuLoCRegion	
