UniprotID	Q8NHU6-2
Accession	Q8NHU6;A6NCI6;B2RBX3;B4DG99;B4DXF7;E7EQD4;Q5VV27;Q96JT1;Q9UFF0;Q9Y2M3
EntryName	TDRD7_HUMAN
ProteinName	Tudor domain-containing protein 7 (PCTAIRE2-binding protein) (Tudor repeat associator with PCTAIRE-2) (Trap)
GeneName	TDRD7 PCTAIRE2BP
Length	1024
Function	Component of specific cytoplasmic RNA granules involved in post-transcriptional regulation of specific genes: probably acts by binding to specific mRNAs and regulating their translation. Required for lens transparency during lens development, by regulating translation of genes such as CRYBB3 and HSPB1 in the developing lens. Also required during spermatogenesis.
Subcellular Location	Cytoplasm
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.37171096
pNuLoCRegion	220...236
