UniprotID	Q9Y5B6-2
Accession	Q9Y5B6;D3DSE7;Q96DU8;Q9NYQ0
EntryName	PAXB1_HUMAN
ProteinName	PAX3- and PAX7-binding protein 1 (GC-rich sequence DNA-binding factor 1)
GeneName	PAXBP1 C21orf66 GCFC GCFC1
Length	815
Function	Adapter protein linking the transcription factors PAX3 and PAX7 to the histone methylation machinery and involved in myogenesis. Associates with a histone methyltransferase complex that specifically mediates dimethylation and trimethylation of 'Lys-4' of histone H3. Mediates the recruitment of that complex to the transcription factors PAX3 and PAX7 on chromatin to regulate the expression of genes involved in muscle progenitor cells proliferation including ID3 and CDC20.
Subcellular Location	Nucleus
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.9346871
pNuLoCRegion	7...36;89...102
