UniprotID	Q9ULH7-5
Accession	Q9ULH7;A6ND53;B4DGT8;Q68CT1;Q6UB16;Q86WW2;Q8N226
EntryName	MRTFB_HUMAN
ProteinName	Myocardin-related transcription factor B (MRTF-B) (MKL/myocardin-like protein 2) (Megakaryoblastic leukemia 2)
GeneName	MRTFB KIAA1243 MKL2
Length	1099
Function	Acts as a transcriptional coactivator of serum response factor (SRF). Required for skeletal myogenic differentiation.
Subcellular Location	Nucleus
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.82382756
pNuLoCRegion	33...41;134...154;294...307;343...348;533...543;702...703
