UniprotID	Q96J84-2
Accession	Q96J84;Q5W0F8;Q5XKC6;Q7Z696;Q7Z7N8;Q8TB15;Q9H9N1;Q9NVA5
EntryName	KIRR1_HUMAN
ProteinName	Kin of IRRE-like protein 1 (Kin of irregular chiasm-like protein 1) (Nephrin-like protein 1)
GeneName	KIRREL1 KIRREL NEPH1
Length	773
Function	Required for proper function of the glomerular filtration barrier. It is involved in the maintenance of a stable podocyte architecture with interdigitating foot processes connected by specialized cell-cell junctions, known as the slit diaphragm (PubMed:31472902). It is a signaling protein that needs the presence of TEC kinases to fully trans-activate the transcription factor AP-1 (By similarity).
Subcellular Location	Cell membrane
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.009499477
pNuLoCRegion	
