UniprotID	Q8NDB2-2
Accession	Q8NDB2;A8K7W8;B0F3S2;Q8N5K8;Q8NB56;Q8WYN5;Q9NWP2
EntryName	BANK1_HUMAN
ProteinName	B-cell scaffold protein with ankyrin repeats
GeneName	BANK1
Length	770
Function	Involved in B-cell receptor (BCR)-induced Ca(2+) mobilization from intracellular stores. Promotes Lyn-mediated phosphorylation of IP3 receptors 1 and 2.
Subcellular Location	
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.61326724
pNuLoCRegion	18...38;218...224;251...251;314...326;356...369;394...411
