UniprotID	Q9NSC2-2
Accession	Q9NSC2;Q99881;Q9NSC3;Q9P1R0
EntryName	SALL1_HUMAN
ProteinName	Sal-like protein 1 (Spalt-like transcription factor 1) (Zinc finger protein 794) (Zinc finger protein SALL1) (Zinc finger protein Spalt-1) (HSal1) (Sal-1)
GeneName	SALL1 SAL1 ZNF794
Length	1227
Function	Transcriptional repressor involved in organogenesis. Plays an essential role in ureteric bud invasion during kidney development.
Subcellular Location	Nucleus
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.94206154
pNuLoCRegion	56...68;373...376;405...420;629...646;665...711;1049...1057;1077...1109
