UniprotID	Q9ULD9-2
Accession	Q9ULD9;A7E2W9;Q3SYM6;Q68D12;Q8IY05;Q9Y5A1
EntryName	ZN608_HUMAN
ProteinName	Zinc finger protein 608 (Renal carcinoma antigen NY-REN-36)
GeneName	ZNF608 KIAA1281
Length	1085
Function	Transcription factor, which represses ZNF609 transcription.
Subcellular Location	
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.9841756
pNuLoCRegion	1...23;83...111
