UniprotID	Q6P179-3
Accession	Q6P179;Q7Z5K1;Q8TD32;Q8WVJ4;Q9HBX2
EntryName	ERAP2_HUMAN
ProteinName	Endoplasmic reticulum aminopeptidase 2 (EC 3.4.11.-) (Leukocyte-derived arginine aminopeptidase) (L-RAP)
GeneName	ERAP2 LRAP
Length	915
Function	Aminopeptidase that plays a central role in peptide trimming, a step required for the generation of most HLA class I-binding peptides. Peptide trimming is essential to customize longer precursor peptides to fit them to the correct length required for presentation on MHC class I molecules. Preferentially hydrolyzes the basic residues Arg and Lys.
Subcellular Location	Endoplasmic reticulum membrane
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.5154536
pNuLoCRegion	7...11
