UniprotID	Q8WXD0-2
Accession	Q8WXD0;B1ALE9;Q3KU23
EntryName	RXFP2_HUMAN
ProteinName	Relaxin receptor 2 (G-protein coupled receptor 106) (G-protein coupled receptor affecting testicular descent) (Leucine-rich repeat-containing G-protein coupled receptor 8) (Relaxin family peptide receptor 2)
GeneName	RXFP2 GPR106 GREAT LGR8
Length	730
Function	Receptor for relaxin. The activity of this receptor is mediated by G proteins leading to stimulation of adenylate cyclase and an increase of cAMP. May also be a receptor for Leydig insulin-like peptide (INSL3).
Subcellular Location	Cell membrane
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.013885505
pNuLoCRegion	
