UniprotID	Q9Y6C5-2
Accession	Q9Y6C5;O95341;O95856;Q53Z57;Q5QP87;Q6UX14
EntryName	PTC2_HUMAN
ProteinName	Protein patched homolog 2 (PTC2)
GeneName	PTCH2 UNQ560/PRO1121/PRO57079
Length	1146
Function	Plays a role in the control of cellular growth (PubMed:18285427). May have a role in epidermal development. May act as a receptor for Sonic hedgehog (SHH).
Subcellular Location	Membrane
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.023366684
pNuLoCRegion	
