UniprotID	Q9Y2H6-2
Accession	Q9Y2H6;B4DYG1;Q5HYC9;Q5JVF8;Q5JVF9;Q6EVH3;Q6EVH4;Q6N020;Q6P9D5;Q6ZME4;Q9H1W1
EntryName	FND3A_HUMAN
ProteinName	Fibronectin type-III domain-containing protein 3A (Human gene expressed in odontoblasts)
GeneName	FNDC3A FNDC3 HUGO KIAA0970
Length	1142
Function	Mediates spermatid-Sertoli adhesion during spermatogenesis.
Subcellular Location	Golgi apparatus membrane
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.25243
pNuLoCRegion	9...13;68...83
