UniprotID	Q9HCC9-5
Accession	Q9HCC9;B2RP83;B3KX50;B7Z1Q7;B7Z2G9;B7Z2M2;B7ZB19;E9PB54;E9PB64;E9PG77;Q7Z6J3
EntryName	LST2_HUMAN
ProteinName	Lateral signaling target protein 2 homolog (hLst2) (Zinc finger FYVE domain-containing protein 28)
GeneName	ZFYVE28 KIAA1643 LST2
Length	773
Function	Negative regulator of epidermal growth factor receptor (EGFR) signaling. Acts by promoting EGFR degradation in endosomes when not monoubiquitinated.
Subcellular Location	Cytoplasm; Cytosol; Early endosome membrane
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.63192034
pNuLoCRegion	63...70;729...740;761...772
