UniprotID	Q6VMQ6-4
Accession	Q6VMQ6;F5GX74;G3V1U0;Q4G0T9;Q6P3T3;Q86XW5;Q9NVJ9;Q9NWC2;Q9Y4X8
EntryName	MCAF1_HUMAN
ProteinName	Activating transcription factor 7-interacting protein 1 (ATF-interacting protein) (ATF-IP) (ATF7-interacting protein) (ATFa-associated modulator) (hAM) (MBD1-containing chromatin-associated factor 1) (P621)
GeneName	ATF7IP MCAF MCAF1
Length	1278
Function	Recruiter that couples transcriptional factors to general transcription apparatus and thereby modulates transcription regulation and chromatin formation. Can both act as an activator or a repressor depending on the context. Required for HUSH-mediated heterochromatin formation and gene silencing (PubMed:27732843). Mediates MBD1-dependent transcriptional repression, probably by recruiting complexes containing SETDB1 (PubMed:12665582). Stabilizes SETDB1, is required to stimulate histone methyltransferase activity of SETDB1 and facilitates the conversion of dimethylated to trimethylated H3 'Lys-9' (H3K9me3). The complex formed with MBD1 and SETDB1 represses transcription and couples DNA methylation and histone H3 'Lys-9' trimethylation (H3K9me3) (PubMed:14536086, PubMed:27732843). Facilitates telomerase TERT and TERC gene expression by SP1 in cancer cells (PubMed:19106100).
Subcellular Location	Nucleus
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.9589425
pNuLoCRegion	19...41;565...593
