UniprotID	Q6ZUM4-3
Accession	Q6ZUM4;A4FU35;A8K3N5;C9JTF3;Q494U0;Q6NWZ8;Q8WY58
EntryName	RHG27_HUMAN
ProteinName	Rho GTPase-activating protein 27 (CIN85-associated multi-domain-containing Rho GTPase-activating protein 1) (Rho-type GTPase-activating protein 27) (SH3 domain-containing protein 20)
GeneName	ARHGAP27 CAMGAP1 SH3D20 PP905
Length	862
Function	Rho GTPase-activating protein which may be involved in clathrin-mediated endocytosis. GTPase activators for the Rho-type GTPases act by converting them to an inactive GDP-bound state. Has activity toward CDC42 and RAC1 (By similarity).
Subcellular Location	Cytoplasm; Membrane
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.44975358
pNuLoCRegion	
