UniprotID	Q9BZL4-2
Accession	Q9BZL4;B4DME2;Q59FK8;Q6ZPD1;Q7L8F7;Q96HW1;Q9H5H5;Q9NT00
EntryName	PP12C_HUMAN
ProteinName	Protein phosphatase 1 regulatory subunit 12C (Protein phosphatase 1 myosin-binding subunit of 85 kDa) (Protein phosphatase 1 myosin-binding subunit p85)
GeneName	PPP1R12C LENG3 MBS85
Length	719
Function	Regulates myosin phosphatase activity.
Subcellular Location	Cytoplasm; Cytoplasm; Cytoskeleton; Stress fiber
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.23274015
pNuLoCRegion	31...34
pNuLoCScore	0.3264178011111112,0.31147201100000005,0.30043420636363644,0.291595125,0.28405471692307693,0.2770540028571429,0.270440838,0.264334860625,0.25865104529411764,0.24194550823529415,0.22635218588235298,0.21539200941176473,0.20754745882352946,0.19786822588235298,0.19252467529411768,0.1900319723529412,0.18890770000000004,0.18849368352941176,0.19164108588235296,0.19426842823529414,0.1959091629411765,0.1975389305882353,0.20028175,0.20344303,0.20961147705882352,0.21573306176470586,0.22239437529411765,0.22994386705882353,0.23843707941176473,0.24703427176470588,0.2554883123529411,0.26298867823529415,0.2692949117647059,0.2748538294117647,0.28062897647058827,0.28609948588235296,0.29130037999999997,0.29739412294117645,0.3033300176470588,0.3085291947058823,0.31364245294117643,0.3163099629411765,0.31923720176470594,0.3218277529411765,0.32339245,0.3235916676470588,0.32354519352941175,0.32302722529411765,0.32227747588235295,0.3209699335294118,0.3194881005882353,0.3179793088235294,0.31613540882352936,0.3138700205882353,0.31202515,0.31037904529411764,0.31459429294117647,0.3195264788235294,0.3232698823529412,0.32597512470588236,0.32719473235294116,0.3263373617647059,0.32446318647058825,0.32330827117647054,0.3224548482352941,0.32158434529411767,0.3217369335294118,0.3228070947058823,0.3242672888235294,0.32658062764705886,0.3294753005882353,0.3319199682352942,0.33467733000000005,0.3316816670588235,0.32840652176470586,0.32622897999999995,0.3251863988235294,0.3255303117647058,0.3282645911764706,0.33224095058823533,0.33587580823529417,0.33937794941176475,0.3429744370588236,0.3457528817647059,0.34792817764705886,0.3497775911764706,0.35152403705882357,0.35326413882352936,0.3549659105882353,0.35556557,0.35629514823529407,0.35742373941176464,0.35864897588235284,0.3590828011764705,0.3596267864705882,0.3596384217647059,0.35883018470588235,0.35786614117647064,0.35716245117647066,0.3567230600000001,0.3556081741176471,0.35394884941176474,0.3530073682352941,0.3522029158823529,0.35144947294117646,0.35045692470588236,0.350584924117647,0.3506356105882352,0.3500427247058823,0.34913436352941174,0.3489584858823529,0.3485991935294117,0.3486228452941176,0.3492488235294117,0.3498268288235294,0.35015726588235296,0.3504070882352941,0.3513966270588235,0.3529051152941176,0.35350009470588234,0.35666071352941175,0.358588324117647,0.3614292488235294,0.36435507941176465,0.36749149882352944,0.3705776764705883,0.3720225317647059,0.37288858882352943,0.3740685064705883,0.37389238882352943,0.3739643264705882,0.3735774729411765,0.37145435352941175,0.3682708447058824,0.3650928270588235,0.36093952117647055,0.35634505764705887,0.3478667229411765,0.34023830294117646,0.33218316058823527,0.32300374000000004,0.31340480411764704,0.30362341823529415,0.29471838647058823,0.2863831835294118,0.27743780117647054,0.2700637705882353,0.2624373982352941,0.25459737411764705,0.2484375,0.24339017176470587,0.23791746470588238,0.2308714076470588,0.22393677705882348,0.21815578470588232,0.21213779235294114,0.20623978176470587,0.20162197588235292,0.19746303176470587,0.19378173411764704,0.19097102588235293,0.18821560235294116,0.1859127594117647,0.18363316470588234,0.18121314352941176,0.17934081588235293,0.17766133470588233,0.1760064258823529,0.17489760352941178,0.1764897011764706,0.17856912941176473,0.1806331505882353,0.1830906923529412,0.18498206882352944,0.1861125123529412,0.18684418294117647,0.18730398882352944,0.18784603000000002,0.1883261611764706,0.18888147647058828,0.18921539764705886,0.18947022647058825,0.18977435529411768,0.18992866235294117,0.19236400647058827,0.19416503647058825,0.19603426176470587,0.19787447882352943,0.19913427705882353,0.19984886176470584,0.2012616076470588,0.20313400999999998,0.2051147076470588,0.20704939882352938,0.2088374876470588,0.21059988058823526,0.21212490588235294,0.2134984405882353,0.21492908117647058,0.21641780882352943,0.2178786064705882,0.21684459823529412,0.2159865688235294,0.21418232,0.21238785529411763,0.21118075294117644,0.2103721352941176,0.20871907294117642,0.20658184705882351,0.20407222470588235,0.20166558823529412,0.19956203705882353,0.19756752529411767,0.19577732058823533,0.1941997435294118,0.19262158882352945,0.19147562764705883,0.1908082194117647,0.19040143411764707,0.19026802882352942,0.19101190588235295,0.19181379647058822,0.19226720529411764,0.1929441405882353,0.19386079294117647,0.19485735117647063,0.1960241394117647,0.19706769529411763,0.19769887647058823,0.19807763941176468,0.19831435823529409,0.19842869999999999,0.19863279411764703,0.19838244529411767,0.1974994652941177,0.19647991235294118,0.19544006411764706,0.19421954058823532,0.19286056000000001,0.19180942705882356,0.1907142847058824,0.18933573411764706,0.18796153705882354,0.18695134000000002,0.18613021823529413,0.1854988788235294,0.18514776647058828,0.18496899294117647,0.18719368647058823,0.18911843411764706,0.19102883117647057,0.19305950176470588,0.194166,0.19491153529411764,0.19603154294117647,0.19685507647058825,0.19774307764705884,0.1986978694117647,0.19985128882352943,0.20102848529411765,0.20216494,0.20292461352941177,0.20346390117647062,0.20396269470588238,0.20440450470588237,0.2025674888235294,0.20096955352941173,0.1992243105882353,0.19756782352941177,0.19678025058823528,0.19634684411764708,0.19563877411764707,0.1955675229411765,0.19532555588235295,0.19504278705882355,0.1949136888235294,0.19497608294117647,0.19491291352941176,0.19517144352941176,0.19566126941176468,0.1970802988235294,0.19852103058823525,0.2001287023529412,0.20158853352941175,0.2030034205882353,0.20449320882352945,0.205984775882353,0.20758211000000004,0.20889401000000002,0.21025801352941179,0.21157630470588237,0.2128483011764706,0.21413947764705885,0.2154660182352941,0.21684502764705882,0.21820619176470585,0.21947621176470586,0.21983464705882352,0.22018087294117647,0.22018067647058823,0.22031633352941177,0.22063640411764704,0.22085239352941174,0.2210794694117647,0.22124152235294117,0.22164943352941177,0.22193947176470585,0.22224359823529413,0.22263169823529408,0.22295054470588235,0.2231607905882353,0.22327172705882353,0.22380715117647054,0.223473474117647,0.22349780588235288,0.22359707294117648,0.2238849617647059,0.22419798352941173,0.22451465764705883,0.2247826217647059,0.22508570764705885,0.22542637176470587,0.22587556117647056,0.22638783235294116,0.22688541823529407,0.22731394470588231,0.22773871117647057,0.22818741588235292,0.22865776058823528,0.22867141411764705,0.22947556470588237,0.2298770317647059,0.23020458470588234,0.2303937017647059,0.23050432529411766,0.23057644117647058,0.23067546411764706,0.23065831705882353,0.23060832294117645,0.2304820670588235,0.2302766629411765,0.2300758423529412,0.22989664352941178,0.22975246588235293,0.2287504082352941,0.22746292,0.22638696882352938,0.2255677788235294,0.22501681705882354,0.22471973529411762,0.22456375941176465,0.22453488647058822,0.22438687411764707,0.22435089647058826,0.22440943,0.22449150294117648,0.22479087882352938,0.2251247511764706,0.22547077294117646,0.22581805000000002,0.22614364588235292,0.22732543764705881,0.22880474352941174,0.2301471982352941,0.2312715570588235,0.23216068470588233,0.23284324294117645,0.23346932941176468,0.23402146647058825,0.23476242411764703,0.23543583529411763,0.23614954352941175,0.23690274588235294,0.23749989235294114,0.23810953529411763,0.23870736470588239,0.2404274835294118,0.24238834352941177,0.2448081717647059,0.2473968794117647,0.2496976970588235,0.2518975735294117,0.25405731117647057,0.2560206794117647,0.2578496370588235,0.2594985605882353,0.2610315564705883,0.26240077823529406,0.26366946529411767,0.2648605182352941,0.26600850470588233,0.2670844864705883,0.2682302611764706,0.2682218623529412,0.26795233411764713,0.2672146723529412,0.26625918529411763,0.2654046829411765,0.26469534352941176,0.2640005376470588,0.2634599517647058,0.26301831117647057,0.2626840917647058,0.2623825764705882,0.26220108823529414,0.2620415976470588,0.2618795876470588,0.26170973000000003,0.26141822764705885,0.2608126852941176,0.26003321764705883,0.25922214999999993,0.2584519129411764,0.25766240470588236,0.25678837352941175,0.2558239694117647,0.2548861341176471,0.25402250411764704,0.2532294935294118,0.25250898058823534,0.2518232670588236,0.2511626176470589,0.25051929882352947,0.24990579000000004,0.24935676647058827,0.2490647047058824,0.24901091470588235,0.24914157352941171,0.24931152470588233,0.24943477470588232,0.24957652411764705,0.24988442235294114,0.2502945994117647,0.25068738,0.2510326476470588,0.2513146364705882,0.2515471317647059,0.25175216647058823,0.2519376394117647,0.25214469,0.25217034470588234,0.2524265505882353,0.2524078905882353,0.2524138,0.25247121058823535,0.25255922000000003,0.25250475529411764,0.2524055505882353,0.2523459188235294,0.25227966470588237,0.2522109741176471,0.2521625294117647,0.25210831000000006,0.25207748176470585,0.25203417294117647,0.25192639352941176,0.2518296064705883,0.2518916635294118,0.2516678911764706,0.2515657623529412,0.2514027805882353,0.2511977635294118,0.25093340000000003,0.250764305882353,0.2506681088235294,0.2505340582352941,0.25041347647058826,0.2503189029411765,0.2502034717647059,0.25005860470588237,0.2498299464705882,0.24959040058823526,0.24979323294117647,0.250310505882353,0.2510265423529412,0.25154532882352937,0.25192728058823527,0.2522922941176471,0.2526617964705883,0.25301843764705884,0.2533833047058824,0.2535970294117647,0.25377046647058826,0.2540533782352941,0.25443075764705886,0.254653964117647,0.2548290070588235,0.2550831052941176,0.2553687776470588,0.25528950411764706,0.25488405117647056,0.2542926335294117,0.25398889882352943,0.25388883882352936,0.25381003941176467,0.2536924852941177,0.2536104582352941,0.2535683605882353,0.25368823117647055,0.25385027470588234,0.25389305352941177,0.25381768529411763,0.25387150294117644,0.25397095235294115,0.2536382864705882,0.2534040917647059,0.25319098411764707,0.25303460588235294,0.2528692705882353,0.2525698023529412,0.25227617176470585,0.2519861164705882,0.25168368941176467,0.2513887364705883,0.2512591641176471,0.2511402770588236,0.2510405217647058,0.2509724476470588,0.2508834194117647,0.25083065235294116,0.25079287588235294,0.25115829352941177,0.25146348235294114,0.25177002705882356,0.2519160147058824,0.2520699311764706,0.25228389058823536,0.25245538,0.2526332982352941,0.25284579764705883,0.2530622388235294,0.2531146541176471,0.25313050764705886,0.2531230605882353,0.25308464352941185,0.25307834,0.25356519058823535,0.2536673582352941,0.2533447505882353,0.2529101517647059,0.25245667470588234,0.2522026564705882,0.25197857882352936,0.2516839847058823,0.25126723117647065,0.25087605,0.25056565235294115,0.2503009794117647,0.2500414864705882,0.2498070741176471,0.24958738411764708,0.24936534588235293,0.24915225470588234,0.24840993882352938,0.24807976411764704,0.24819157764705882,0.24835384705882355,0.2484946023529412,0.24855229764705886,0.24858220176470588,0.24864489529411765,0.24885284294117646,0.24904356117647056,0.24918579647058822,0.24924618764705883,0.24928594176470587,0.24927870411764708,0.24926422588235292,0.24901743882352942,0.24878600882352941,0.24869138705882352,0.24880505,0.24889180411764703,0.24905407764705878,0.2491912288235294,0.24934099176470587,0.24950927823529412,0.24973338000000003,0.24995330941176466,0.2501892341176471,0.25038229,0.2505709305882353,0.25077137941176475,0.25098918,0.2512026523529412,0.2516616252941177,0.25210349529411763,0.2524020082352941,0.25246886999999996,0.2525356494117647,0.25254114529411764,0.2526043123529411,0.25264029411764705,0.25268999411764703,0.2527214970588235,0.2527567382352941,0.2527786123529412,0.25284115882352937,0.2529521976470588,0.25307723705882357,0.2542046452941177,0.25510218647058824,0.25605123294117643,0.2569126017647059,0.25774195352941176,0.2585610376470588,0.25939952411764705,0.26027721352941174,0.26112228294117645,0.2619653658823529,0.2627538923529412,0.2634812217647059,0.2641332129411764,0.2647515682352941,0.26530044823529414,0.2656969905882353,0.2660242864705883,0.26535237705882353,0.2648774723529411,0.2643184664705882,0.26379956529411763,0.26334699,0.26292224705882355,0.2625041294117647,0.26200811764705884,0.26147500470588236,0.260905225882353,0.26034845529411765,0.25982776647058825,0.25933613176470593,0.25885382235294113,0.25842600764705875,0.25774023529411766,0.25704401529411763,0.2562670505882353,0.25552707117647055,0.25471470647058825,0.25389009235294113,0.25309991,0.25232687411764704,0.2514748405882352,0.2506085135294117,0.24984419352941173,0.2491199511764706,0.24843940294117647,0.24777427000000002,0.2471301641176471,0.24650837647058826,0.24590913529411765,0.2456968776470589,0.24556107823529416,0.2455180347058824,0.24544168176470596,0.24544076941176474,0.2454651364705883,0.24545343470588238,0.2454153276470589,0.24546682000000003,0.24556835,0.2456064682352941,0.24561022176470584,0.2455890811764706,0.24557232647058824,0.2455681829411765,0.24543821529411775,0.2453167988235295,0.24531069411764705,0.24525164352941176,0.2451313394117647,0.2450143294117647,0.2448783088235294,0.24479527176470584,0.24468610764705878,0.24449824470588233,0.24427663529411767,0.24401031823529415,0.24377927294117646,0.24355743529411764,0.24330697294117645,0.24306450999999996,0.24282005823529412,0.2426854376470588,0.24246961117647062,0.24212133588235296,0.24179426117647054,0.24151620588235295,0.2412676311764706,0.24104653999999998,0.24078321941176473,0.2405285882352942,0.24037173647058824,0.24024459470588239,0.24016914000000006,0.24005820705882358,0.2399432347058824,0.23981780235294117,0.24001151823529412,0.24023585705882358,0.2404102576470588,0.24053819529411763,0.24054058882352944,0.24050122529411766,0.24034092999999998,0.24016872235294115,0.24000106999999998,0.23979015764705883,0.2395970005882353,0.23933994764705885,0.2389724,0.23859083176470589,0.23818321588235292,0.23811070312500004,0.23805779466666668,0.23760029642857136,0.2370239192307692,0.23644255749999998,0.23590462090909092,0.23551471900000004,0.23515318111111114
