UniprotID	Q8WYQ5-3
Accession	Q8WYQ5;B2R8G1;Q6DCB2;Q6MZE9;Q6Y2L0;Q96G39;Q96GP8;Q9H6L8;Q9H6T7;Q9NRW2
EntryName	DGCR8_HUMAN
ProteinName	Microprocessor complex subunit DGCR8 (DiGeorge syndrome critical region 8)
GeneName	DGCR8 C22orf12 DGCRK6 LP4941
Length	740
Function	Component of the microprocessor complex that acts as a RNA- and heme-binding protein that is involved in the initial step of microRNA (miRNA) biogenesis. Component of the microprocessor complex that is required to process primary miRNA transcripts (pri-miRNAs) to release precursor miRNA (pre-miRNA) in the nucleus. Within the microprocessor complex, DGCR8 function as a molecular anchor necessary for the recognition of pri-miRNA at dsRNA-ssRNA junction and directs DROSHA to cleave 11 bp away form the junction to release hairpin-shaped pre-miRNAs that are subsequently cut by the cytoplasmic DICER to generate mature miRNAs (PubMed:26027739, PubMed:26748718). The heme-bound DGCR8 dimer binds pri-miRNAs as a cooperative trimer (of dimers) and is active in triggering pri-miRNA cleavage, whereas the heme-free DGCR8 monomer binds pri-miRNAs as a dimer and is much less active. Both double-stranded and single-stranded regions of a pri-miRNA are required for its binding (PubMed:15531877, PubMed:15574589, PubMed:15589161, PubMed:16751099, PubMed:16906129, PubMed:16963499, PubMed:17159994). Specifically recognizes and binds N6-methyladenosine (m6A)-containing pri-miRNAs, a modification required for pri-miRNAs processing (PubMed:25799998). Involved in the silencing of embryonic stem cell self-renewal (By similarity). Also plays a role in DNA repair by promoting the recruitment of RNF168 to RNF8 and MDC1 at DNA double-strand breaks and subsequently the clearance of DNA breaks (PubMed:34188037).
Subcellular Location	Nucleus; Nucleus; Nucleolus
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.81999516
pNuLoCRegion	25...37;260...272;308...315
