UniprotID	Q8N8J6-2
Accession	Q8N8J6;B7ZKW9;Q2M2Y6;Q5CZB0;Q6ZMT7;Q6ZRB3
EntryName	ZN615_HUMAN
ProteinName	Zinc finger protein 615
GeneName	ZNF615
Length	742
Function	May be involved in transcriptional regulation.
Subcellular Location	Nucleus
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.97959304
pNuLoCRegion	2...23;41...44;48...53;95...107;212...228;237...266;292...339;356...403;416...448;470...492;503...520;525...565;570...609;624...653;677...722
