UniprotID	Q7RTW8-2
Accession	Q7RTW8;A1L3A8;A2VDI0;B3KWU3;E9PF51;Q8NA86;Q96M76
EntryName	OTOAN_HUMAN
ProteinName	Otoancorin
GeneName	OTOA
Length	815
Function	May act as an adhesion molecule.
Subcellular Location	Apical cell membrane; Secreted; Extracellular space; Extracellular matrix
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.59721786
pNuLoCRegion	6...39
