UniprotID	Q96HB5-4
Accession	Q96HB5;A8K5Q5;B4DF24;B4DFC1;B4DTU2;F5GZU4
EntryName	CC120_HUMAN
ProteinName	Coiled-coil domain-containing protein 120
GeneName	CCDC120 JM11
Length	696
Function	Centriolar protein required for centriole subdistal appendage assembly and microtubule anchoring in interphase cells (PubMed:28422092). Together with CCDC68, cooperate with subdistal appendage components ODF2, NIN and CEP170 for hierarchical subdistal appendage assembly (PubMed:28422092). Recruits NIN and CEP170 to centrosomes (PubMed:28422092). Also required for neurite growth. Localizes CYTH2 to vesicles to allow its transport along neurites, and subsequent ARF6 activation and neurite growth.
Subcellular Location	Cytoplasm; Cytoskeleton; Microtubule organizing center; Centrosome; Centriole; Cytoplasm; Cell projection; Neuron projection; Cell projection; Growth cone; Endosome
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.7759398
pNuLoCRegion	156...164;173...192;297...303
