UniprotID	Q9P0K7-4
Accession	Q9P0K7;E9PED3;Q6V1W9;Q7Z5I4;Q7Z733;Q9P2L2;Q9Y3T5
EntryName	RAI14_HUMAN
ProteinName	Ankycorbin (Ankyrin repeat and coiled-coil structure-containing protein) (Novel retinal pigment epithelial cell protein) (Retinoic acid-induced protein 14)
GeneName	RAI14 KIAA1334 NORPEG
Length	951
Function	Plays a role in actin regulation at the ectoplasmic specialization, a type of cell junction specific to testis. Important for establishment of sperm polarity and normal spermatid adhesion. May also promote integrity of Sertoli cell tight junctions at the blood-testis barrier.
Subcellular Location	Cytoplasm; Cytoskeleton; Cytoplasm; Cytoskeleton; Stress fiber; Cytoplasm; Cell cortex; Cell junction; Nucleus
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.23954144
pNuLoCRegion	
