UniprotID	Q32P28-3
Accession	Q32P28;Q7KZR4;Q96BR8;Q96SK8;Q96SL5;Q96SN3;Q9H6K3;Q9HC86;Q9HC87
EntryName	P3H1_HUMAN
ProteinName	Prolyl 3-hydroxylase 1 (EC 1.14.11.7) (Growth suppressor 1) (Leucine- and proline-enriched proteoglycan 1) (Leprecan-1)
GeneName	P3H1 GROS1 LEPRE1 PSEC0109
Length	804
Function	Basement membrane-associated chondroitin sulfate proteoglycan (CSPG). Has prolyl 3-hydroxylase activity catalyzing the post-translational formation of 3-hydroxyproline in -Xaa-Pro-Gly- sequences in collagens, especially types IV and V. May be involved in the secretory pathway of cells. Has growth suppressive activity in fibroblasts.
Subcellular Location	Endoplasmic reticulum; Secreted; Extracellular space; Extracellular matrix
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.016188154
pNuLoCRegion	
