UniprotID	Q9BZF3-4
Accession	Q9BZF3;B4DTW1;C4AMC0;C4AME4;D3DPF6;D3DPF7;Q4ZG68;Q53T68;Q59H61;Q7Z4Q1;Q86V84;Q8N9T0;Q96SR1
EntryName	OSBL6_HUMAN
ProteinName	Oxysterol-binding protein-related protein 6 (ORP-6) (OSBP-related protein 6)
GeneName	OSBPL6 ORP6
Length	903
Function	Regulates cellular transport and efflux of cholesterol (PubMed:26941018). Plays a role in phosphatidylinositol-4-phophate (PI4P) turnover at the neuronal membrane (By similarity). Binds via its PH domain PI4P, phosphatidylinositol-4,5-diphosphate, phosphatidylinositol-3,4,5-triphosphate, and phosphatidic acid (By similarity). Weakly binds 25-hydroxycholesterol (PubMed:17428193).
Subcellular Location	Cytoplasm; Cytosol; Endoplasmic reticulum membrane; Nucleus envelope; Cell membrane; Endosome membrane
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.6996987
pNuLoCRegion	191...193;262...264
