UniprotID	Q6ZS17-4
Accession	Q6ZS17;B4DEQ9;B4DIM2;E9PBS3;Q4G0A4;Q7Z5R7;Q8NDA4;Q96J39;Q96PV8;Q9H8D9
EntryName	RIPR1_HUMAN
ProteinName	Rho family-interacting cell polarization regulator 1
GeneName	RIPOR1 FAM65A KIAA1930
Length	1239
Function	Downstream effector protein for Rho-type small GTPases that plays a role in cell polarity and directional migration (PubMed:27807006). Acts as an adapter protein, linking active Rho proteins to STK24 and STK26 kinases, and hence positively regulates Golgi reorientation in polarized cell migration upon Rho activation (PubMed:27807006). Involved in the subcellular relocation of STK26 from the Golgi to cytoplasm punctae in a Rho- and PDCD10-dependent manner upon serum stimulation (PubMed:27807006).
Subcellular Location	Cytoplasm; Golgi apparatus
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.50201285
pNuLoCRegion	8...23;54...74
