UniprotID	Q8TEU7-3
Accession	Q8TEU7;A3KN82;A5PLL6;B7ZML2;E9PDV7;Q8NI21;Q8TEU6;Q96PC1
EntryName	RPGF6_HUMAN
ProteinName	Rap guanine nucleotide exchange factor 6 (PDZ domain-containing guanine nucleotide exchange factor 2) (PDZ-GEF2) (RA-GEF-2)
GeneName	RAPGEF6 PDZGEF2
Length	1509
Function	Guanine nucleotide exchange factor (GEF) for Rap1A, Rap2A and M-Ras GTPases. Does not interact with cAMP.
Subcellular Location	Cytoplasm; Cell membrane
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.5055081
pNuLoCRegion	146...167;225...242;267...287;293...312
