UniprotID	Q9ULD0-2
Accession	Q9ULD0;A8K2G1;B4DKG2;B4E193;Q8TAN9;Q9NVA0
EntryName	OGDHL_HUMAN
ProteinName	2-oxoglutarate dehydrogenase-like, mitochondrial (EC 1.2.4.2) (2-oxoglutarate dehydrogenase complex component E1-like) (OGDC-E1-like) (Alpha-ketoglutarate dehydrogenase-like)
GeneName	OGDHL KIAA1290
Length	953
Function	2-oxoglutarate dehydrogenase (E1-like) component of the 2-oxoglutarate dehydrogenase multienzyme complex (OGDHC) which mediates the decarboxylation of alpha-ketoglutarate in the tricarboxylic acid cycle. The OGDHC complex catalyzes the overall conversion of 2-oxoglutarate to succinyl-CoA and CO(2) while reducing NAD(+) to NADH (By similarity). The OGDHC complex is mainly active in the mitochondrion (By similarity). Involved in the inhibition of cell proliferation and in apoptosis (PubMed:23152800, PubMed:31175094).
Subcellular Location	Mitochondrion matrix
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.3509186
pNuLoCRegion	
