UniprotID	Q8N1I0-2
Accession	Q8N1I0;O14584;O94824;Q8NB45
EntryName	DOCK4_HUMAN
ProteinName	Dedicator of cytokinesis protein 4
GeneName	DOCK4 KIAA0716
Length	1937
Function	Functions as a guanine nucleotide exchange factor (GEF) that promotes the exchange of GDP to GTP, converting inactive GDP-bound small GTPases into their active GTP-bound form (PubMed:12628187, PubMed:16464467). Involved in regulation of adherens junction between cells (PubMed:12628187). Plays a role in cell migration (PubMed:20679435).
Subcellular Location	Cell membrane; Cell projection; Cytoplasm; Cytosol
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.5445897
pNuLoCRegion	190...196;225...226
