UniprotID	Q8WXX7-2
Accession	Q8WXX7;A4D1Y9;L7QET3;L7QF75;Q5D049;Q6PJU5;Q9Y4F2
EntryName	AUTS2_HUMAN
ProteinName	Autism susceptibility gene 2 protein
GeneName	AUTS2 KIAA0442
Length	1235
Function	Component of a Polycomb group (PcG) multiprotein PRC1-like complex, a complex class required to maintain the transcriptionally repressive state of many genes, including Hox genes, throughout development. PcG PRC1 complex acts via chromatin remodeling and modification of histones; it mediates monoubiquitination of histone H2A 'Lys-119', rendering chromatin heritably changed in its expressibility (PubMed:25519132). The PRC1-like complex that contains PCGF5, RNF2, CSNK2B, RYBP and AUTS2 has decreased histone H2A ubiquitination activity, due to the phosphorylation of RNF2 by CSNK2B (PubMed:25519132). As a consequence, the complex mediates transcriptional activation (PubMed:25519132). In the cytoplasm, plays a role in axon and dendrite elongation and in neuronal migration during embryonic brain development. Promotes reorganization of the actin cytoskeleton, lamellipodia formation and neurite elongation via its interaction with RAC guanine nucleotide exchange factors, which then leads to the activation of RAC1 (By similarity).
Subcellular Location	Nucleus; Cytoplasm; Cytoskeleton; Cell projection; Growth cone
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.8765858
pNuLoCRegion	12...36;76...78;213...214;533...533;584...606
