UniprotID	Q8IUR5-2
Accession	Q8IUR5;D0EP37;F5H8B5;Q6PIU4;Q6ZSM5;Q96N52;Q9BXM2
EntryName	TMTC1_HUMAN
ProteinName	Protein O-mannosyl-transferase TMTC1 (EC 2.4.1.109) (Transmembrane O-mannosyltransferase targeting cadherins 1) (Transmembrane and tetratricopeptide repeat-containing 1)
GeneName	TMTC1 ARG99
Length	645
Function	Transfers mannosyl residues to the hydroxyl group of serine or threonine residues. The 4 members of the TMTC family are O-mannosyl-transferases dedicated primarily to the cadherin superfamily, each member seems to have a distinct role in decorating the cadherin domains with O-linked mannose glycans at specific regions. Also acts as O-mannosyl-transferase on other proteins such as PDIA3.
Subcellular Location	Membrane; Endoplasmic reticulum
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.017014243
pNuLoCRegion	
