UniprotID	Q9P225-3
Accession	Q9P225;A8K992;B5MDX5;O15434;Q6PIH3;Q6ZR42
EntryName	DYH2_HUMAN
ProteinName	Dynein axonemal heavy chain 2 (Axonemal beta dynein heavy chain 2) (Ciliary dynein heavy chain 2) (Dynein heavy chain domain-containing protein 3)
GeneName	DNAH2 DNAHC2 DNHD3 KIAA1503
Length	872
Function	As part of the axonemal inner dynein arm complex plays a central role in ciliary beat (PubMed:30811583). Expressed in sperm flagellum, it is required for sperm motility (PubMed:30811583). Dyneins are microtubule-based molecular motors possessing ATPase activities that can convert the chemical energy of ATP into relative sliding between adjacent microtubule doublets to generate ciliary bending (PubMed:30811583).
Subcellular Location	Cytoplasm; Cytoskeleton; Cilium axoneme; Cytoplasm; Cytoskeleton; Flagellum axoneme
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.7503337
pNuLoCRegion	1...26;33...35;54...74;130...142
