UniprotID	Q8IXK0-5
Accession	Q8IXK0;A1L4Q1;A8KA40;D3DPR2;Q2TAL3;Q5T0C1;Q6NUJ6;Q6ZQR1;Q8N306;Q8TAG8;Q96BL4;Q9Y4Y7
EntryName	PHC2_HUMAN
ProteinName	Polyhomeotic-like protein 2 (hPH2) (Early development regulatory protein 2)
GeneName	PHC2 EDR2 PH2
Length	859
Function	Component of a Polycomb group (PcG) multiprotein PRC1-like complex, a complex class required to maintain the transcriptionally repressive state of many genes, including Hox genes, throughout development. PcG PRC1 complex acts via chromatin remodeling and modification of histones; it mediates monoubiquitination of histone H2A 'Lys-119', rendering chromatin heritably changed in its expressibility.
Subcellular Location	Nucleus
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.89458257
pNuLoCRegion	77...106;195...216
