UniprotID	Q71SY5-4
Accession	Q71SY5;A8K095;B9TX30;O95783;Q6P143;Q6QMH5;Q707U4;Q8TB55;Q9H0L5;Q9HB34
EntryName	MED25_HUMAN
ProteinName	Mediator of RNA polymerase II transcription subunit 25 (Activator interaction domain-containing protein 1) (Activator-recruited cofactor 92 kDa component) (ARC92) (Mediator complex subunit 25) (p78)
GeneName	MED25 ACID1 ARC92 PTOV2 TCBAP0758
Length	793
Function	Component of the Mediator complex, a coactivator involved in the regulated transcription of nearly all RNA polymerase II-dependent genes. Mediator functions as a bridge to convey information from gene-specific regulatory proteins to the basal RNA polymerase II transcription machinery. Mediator is recruited to promoters by direct interactions with regulatory proteins and serves as a scaffold for the assembly of a functional preinitiation complex with RNA polymerase II and the general transcription factors. Required for RARA/RXRA-mediated transcription.
Subcellular Location	Nucleus
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.9461605
pNuLoCRegion	127...127;161...163;313...326;456...473;715...728
