UniprotID	Q9Y2H0-1
Accession	Q9Y2H0;E1P5T5;Q5QPG4;Q5T2Y4;Q5T2Y5;Q9H137;Q9H138;Q9H1L7
EntryName	DLGP4_HUMAN
ProteinName	Disks large-associated protein 4 (DAP-4) (PSD-95/SAP90-binding protein 4) (SAP90/PSD-95-associated protein 4) (SAPAP-4)
GeneName	DLGAP4 DAP4 KIAA0964 SAPAP4
Length	989
Function	May play a role in the molecular organization of synapses and neuronal cell signaling. Could be an adapter protein linking ion channel to the subsynaptic cytoskeleton. May induce enrichment of PSD-95/SAP90 at the plasma membrane.
Subcellular Location	Membrane
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.80703443
pNuLoCRegion	185...205
