UniprotID	Q9BY07-3
Accession	Q9BY07;Q32MA7;Q59EQ9;Q8WXD3;Q8WXD7;Q96DS7;Q96DS8;Q9HBU5
EntryName	S4A5_HUMAN
ProteinName	Electrogenic sodium bicarbonate cotransporter 4 (NBCe2) (Solute carrier family 4 member 5)
GeneName	SLC4A5 NBC4
Length	1121
Function	Mediates sodium- and bicarbonate-dependent electrogenic sodium bicarbonate cotransport, with a Na(+):HCO3(-) stoichiometry varying from 1:2 to 1:3.
Subcellular Location	Apical cell membrane; Basolateral cell membrane
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.07288379
pNuLoCRegion	60...74
