UniprotID	Q8IVL1-5
Accession	Q8IVL1;A6NEC1;Q8IVK3;Q8IVK4;Q8IVK5;Q8IVK6;Q8IVK7;Q8IVK8;Q8NHC9;Q8NHD0;Q8TDE9;Q8TDF0;Q8TEB3;Q96B30;Q9NUZ6;Q9NVM7;Q9P2C8
EntryName	NAV2_HUMAN
ProteinName	Neuron navigator 2 (EC 3.6.4.12) (Helicase APC down-regulated 1) (Pore membrane and/or filament-interacting-like protein 2) (Retinoic acid inducible in neuroblastoma 1) (Steerin-2) (Unc-53 homolog 2) (unc53H2)
GeneName	NAV2 HELAD1 KIAA1419 POMFIL2 RAINB1 STEERIN2
Length	1493
Function	Possesses 3' to 5' helicase activity and exonuclease activity. Involved in neuronal development, specifically in the development of different sensory organs.
Subcellular Location	Nucleus
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.7051158
pNuLoCRegion	4...32;94...107;838...839
