UniprotID	Q96JG6-3
Accession	Q96JG6;B3KX22;D1MQ00;F5H5U7;Q75N07;Q8WVK3;Q9H5C6
EntryName	VPS50_HUMAN
ProteinName	Syndetin (Coiled-coil domain-containing protein 132) (EARP/GARPII complex subunit VPS50)
GeneName	VPS50 CCDC132 KIAA1861
Length	934
Function	Acts as a component of the EARP complex that is involved in endocytic recycling. The EARP complex associates with Rab4-positive endosomes and promotes recycling of internalized transferrin receptor (TFRC) to the plasma membrane. Within the EARP complex, required to tether the complex to recycling endosomes. Not involved in retrograde transport from early and late endosomes to the trans-Golgi network (TGN).
Subcellular Location	Recycling endosome; Membrane
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.6793477
pNuLoCRegion	5...11;65...67
