UniprotID	Q5T4D3-3
Accession	Q5T4D3;A6NLI7;B7Z666;Q5T4D4;Q5T4D5;Q5T4D6;Q8WV63;Q96SU8
EntryName	TMTC4_HUMAN
ProteinName	Protein O-mannosyl-transferase TMTC4 (EC 2.4.1.109) (Transmembrane O-mannosyltransferase targeting cadherins 4) (Transmembrane and tetratricopeptide repeat-containing 4)
GeneName	TMTC4
Length	760
Function	Transfers mannosyl residues to the hydroxyl group of serine or threonine residues. The 4 members of the TMTC family are O-mannosyl-transferases dedicated primarily to the cadherin superfamily, each member seems to have a distinct role in decorating the cadherin domains with O-linked mannose glycans at specific regions. Also acts as O-mannosyl-transferase on other proteins such as PDIA3.
Subcellular Location	Membrane; Endoplasmic reticulum
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.018580176
pNuLoCRegion	
