UniprotID	Q53R41-2
Accession	Q53R41;Q8N583;Q8TEA9;Q96JM5;Q96N71;Q9H6T4
EntryName	FAKD1_HUMAN
ProteinName	FAST kinase domain-containing protein 1, mitochondrial
GeneName	FASTKD1 KIAA1800
Length	804
Function	Involved in the down-regulation of mitochondrial MT-ND3 mRNA levels which leads to decreased respiratory complex I abundance and activity.
Subcellular Location	Mitochondrion
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.14078982
pNuLoCRegion	
