UniprotID	Q9P2D6-2
Accession	Q9P2D6;A2RRQ5;Q3C0H3;Q5JXK0;Q5JXK1;Q68DW0;Q6P081;Q9H0F2;Q9NU48;Q9NUQ5;Q9NXL5
EntryName	F135A_HUMAN
ProteinName	Protein FAM135A
GeneName	FAM135A KIAA1411
Length	1319
Function	
Subcellular Location	
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.86266935
pNuLoCRegion	1...20;227...233;275...277;378...386;424...428
