UniprotID	Q8NDW8-5
Accession	Q8NDW8;A1L388;B4DYF6;B4DYJ3;D3YTE7;D4PHA5;Q6P5W8;Q8N7G5;Q8NA02
EntryName	TT21A_HUMAN
ProteinName	Tetratricopeptide repeat protein 21A (TPR repeat protein 21A) (Stress-inducible protein 2)
GeneName	TTC21A STI2
Length	1302
Function	Intraflagellar transport (IFT)-associated protein required for spermatogenesis (PubMed:30929735). Required for sperm flagellar formation and intraflagellar transport (PubMed:30929735).
Subcellular Location	
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.466911
pNuLoCRegion	21...43;254...259
