UniprotID	Q9ULJ7-2
Accession	Q9ULJ7;A8K4V3;B4DHJ6;E9PDW0;Q6N064;Q6ZSE6
EntryName	ANR50_HUMAN
ProteinName	Ankyrin repeat domain-containing protein 50
GeneName	ANKRD50 KIAA1223
Length	1250
Function	Involved in the endosome-to-plasma membrane trafficking and recycling of SNX27-retromer-dependent cargo proteins, such as GLUT1 (PubMed:25278552).
Subcellular Location	Endosome
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.40268928
pNuLoCRegion	2...21;320...320
