UniprotID	Q9H4L7-2
Accession	Q9H4L7;B7Z799;Q05D56;Q96SX1;Q9H017;Q9H860;Q9NPU9;Q9ULU7
EntryName	SMRCD_HUMAN
ProteinName	SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A containing DEAD/H box 1 (EC 3.6.4.12) (ATP-dependent helicase 1) (hHEL1)
GeneName	SMARCAD1 KIAA1122
Length	1028
Function	DNA helicase that possesses intrinsic ATP-dependent nucleosome-remodeling activity and is both required for DNA repair and heterochromatin organization. Promotes DNA end resection of double-strand breaks (DSBs) following DNA damage: probably acts by weakening histone DNA interactions in nucleosomes flanking DSBs. Required for the restoration of heterochromatin organization after replication. Acts at replication sites to facilitate the maintenance of heterochromatin by directing H3 and H4 histones deacetylation, H3 'Lys-9' trimethylation (H3K9me3) and restoration of silencing.
Subcellular Location	Nucleus; Chromosome
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.92422736
pNuLoCRegion	19...35;200...222;397...409
