UniprotID	Q96T21-2
Accession	Q96T21;F8W892;Q5HYY1;Q7L1Z0;Q8IYC0;Q9H0A1
EntryName	SEBP2_HUMAN
ProteinName	Selenocysteine insertion sequence-binding protein 2 (SECIS-binding protein 2)
GeneName	SECISBP2 SBP2
Length	781
Function	mRNA-binding protein that binds to the SECIS (selenocysteine insertion sequence) element present in the 3'-UTR of mRNAs encoding selenoproteins and facilitates the incorporation of the rare amino acid selenocysteine (PubMed:35709277). Insertion of selenocysteine at UGA codons is mediated by SECISBP2 and EEFSEC: SECISBP2 (1) specifically binds the SECIS sequence once the 80S ribosome encounters an in-frame UGA codon and (2) contacts the RPS27A/eS31 of the 40S ribosome before ribosome stalling (PubMed:35709277). (3) GTP-bound EEFSEC then delivers selenocysteinyl-tRNA(Sec) to the 80S ribosome and adopts a preaccommodated state conformation (PubMed:35709277). (4) After GTP hydrolysis, EEFSEC dissociates from the assembly, selenocysteinyl-tRNA(Sec) accommodates, and peptide bond synthesis and selenoprotein elongation occur (PubMed:35709277).
Subcellular Location	Nucleus; Mitochondrion
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.47501343
pNuLoCRegion	18...40;319...322
