UniprotID	Q8NFP9-3
Accession	Q8NFP9;B7Z2H9;Q5T320;Q9HCM8;Q9NSU1;Q9NW98;Q9Y6J1
EntryName	NBEA_HUMAN
ProteinName	Neurobeachin (Lysosomal-trafficking regulator 2) (Protein BCL8B)
GeneName	NBEA BCL8B KIAA1544 LYST2
Length	739
Function	Binds to type II regulatory subunits of protein kinase A and anchors/targets them to the membrane. May anchor the kinase to cytoskeletal and/or organelle-associated proteins (By similarity).
Subcellular Location	Cytoplasm; Membrane
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.48149124
pNuLoCRegion	28...32;86...106;158...162
