UniprotID	Q9BZ72-3
Accession	Q9BZ72;Q9P271
EntryName	PITM2_HUMAN
ProteinName	Membrane-associated phosphatidylinositol transfer protein 2 (Phosphatidylinositol transfer protein, membrane-associated 2) (PITPnm 2) (Pyk2 N-terminal domain-interacting receptor 3) (NIR-3)
GeneName	PITPNM2 KIAA1457 NIR3
Length	1070
Function	Catalyzes the transfer of phosphatidylinositol and phosphatidylcholine between membranes (in vitro). Binds calcium ions.
Subcellular Location	Endomembrane system
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.6636334
pNuLoCRegion	23...41;58...69;382...389
